UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
O00398,P2RY10,P2Y10_HUMAN,Putative P2Y purinoceptor 10,A,Class A (Rhodopsin),Class A orphans,Homo sapiens,CHEMBL3562166,51,False
O00574,CXCR6,CXCR6_HUMAN,C-X-C chemokine receptor type 6,A,Class A (Rhodopsin),Chemokine receptors,Homo sapiens,CHEMBL5994,63,False
O00590,ACKR2,ACKR2_HUMAN,Atypical chemokine receptor 2,A,Class A (Rhodopsin),Chemokine receptors,Homo sapiens,CHEMBL4105988,1,False
O02662,ADRB3,ADRB3_CANLF,Beta-3 adrenergic receptor,A,Class A (Rhodopsin),,Canis lupus familiaris,CHEMBL4400,7,False
O02824,ADRA1A,ADA1A_RABIT,Alpha-1A adrenergic receptor,A,Class A (Rhodopsin),,Oryctolagus cuniculus,CHEMBL3637,59,False
O08530,S1pr1,S1PR1_MOUSE,Sphingosine 1-phosphate receptor 1,A,Class A (Rhodopsin),,Mus musculus,CHEMBL1914262,6,False
O08725,Ghsr,GHSR_RAT,Growth hormone secretagogue receptor type 1,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3278,26,False
O08790,Fpr-s1,FPRS1_MOUSE,Formyl peptide receptor-related sequence 1,A,Class A (Rhodopsin),,Mus musculus,CHEMBL3407315,12,False
O14804,TAAR5,TAAR5_HUMAN,Trace amine-associated receptor 5,A,Class A (Rhodopsin),Class A orphans,Homo sapiens,CHEMBL3714046,1,False
O14842,FFAR1,FFAR1_HUMAN,Free fatty acid receptor 1,A,Class A (Rhodopsin),Free fatty acid receptors,Homo sapiens,CHEMBL4422,1821,True
O14843,FFAR3,FFAR3_HUMAN,Free fatty acid receptor 3,A,Class A (Rhodopsin),Free fatty acid receptors,Homo sapiens,CHEMBL5201,77,True
O15303,GRM6,GRM6_HUMAN,Metabotropic glutamate receptor 6,C,Class C (Glutamate),Metabotropic glutamate receptors,Homo sapiens,CHEMBL4573,143,False
O15552,FFAR2,FFAR2_HUMAN,Free fatty acid receptor 2,A,Class A (Rhodopsin),Free fatty acid receptors,Homo sapiens,CHEMBL5493,229,True
O35659,Glp1r,GLP1R_MOUSE,Glucagon-like peptide 1 receptor,B1,Class B1 (Secretin),,Mus musculus,CHEMBL1075290,3,False
O35881,P2ry14,P2Y14_RAT,P2Y purinoceptor 14,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL4295660,1,False
O43193,MLNR,MTLR_HUMAN,Motilin receptor,A,Class A (Rhodopsin),Motilin receptors,Homo sapiens,CHEMBL2203,291,True
O43194,GPR39,GPR39_HUMAN,G-protein coupled receptor 39,A,Class A (Rhodopsin),Class A orphans,Homo sapiens,CHEMBL3091266,72,False
O43603,GALR2,GALR2_HUMAN,Galanin receptor 2,A,Class A (Rhodopsin),Galanin receptors,Homo sapiens,CHEMBL3176,110,False
O43613,HCRTR1,OX1R_HUMAN,Orexin receptor 1,A,Class A (Rhodopsin),Orexin receptors,Homo sapiens,CHEMBL5113,2702,True
O43614,HCRTR2,OX2R_HUMAN,Orexin receptor 2,A,Class A (Rhodopsin),Orexin receptors,Homo sapiens,CHEMBL4792,2550,True
O46635,HTR2A,5HT2A_CANLF,5-hydroxytryptamine receptor 2A,A,Class A (Rhodopsin),,Canis lupus familiaris,CHEMBL5781,3,False
O54798,Brs3,BRS3_MOUSE,Bombesin receptor subtype-3,A,Class A (Rhodopsin),,Mus musculus,CHEMBL1075140,89,False
O54814,Ccr3,CCR3_RAT,C-C chemokine receptor type 3,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3928,3,False
O55040,Nmur1,NMUR1_MOUSE,Neuromedin-U receptor 1,A,Class A (Rhodopsin),,Mus musculus,CHEMBL3351216,2,False
O55193,Ccr2,CCR2_RAT,C-C chemokine receptor type 2,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL1293204,2,False
O60755,GALR3,GALR3_HUMAN,Galanin receptor 3,A,Class A (Rhodopsin),Galanin receptors,Homo sapiens,CHEMBL2731,266,False
O70129,C5AR1,C5AR1_CAVPO,C5a anaphylatoxin chemotactic receptor 1,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL2861,6,False
O70526,BDKRB2,BKRB2_CAVPO,B2 bradykinin receptor,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL4111,268,False
O70528,HTR4,5HT4R_CAVPO,5-hydroxytryptamine receptor 4,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL5017,249,False
